,M
0,-0.4208689036955706
1,-0.42564480000574273
2,-0.4290930710681181
3,-0.43122569569268326
4,-0.4320586678852039
5,-0.4316118929791752
6,-0.4299090720031756
7,-0.42697757479570725
8,-0.4228483024128334
9,-0.4175555394049872
10,-0.41113679656814595
11,-0.4036326448010519
12,-0.39508654072424537
13,-0.38554464473829686
14,-0.3750556322177284
15,-0.36367049855364775
16,-0.351442358772061
17,-0.3384262424661383
18,-0.32467888478937484
19,-0.3102585142626094
20,-0.29522463815122785
21,-0.27963782616961036
22,-0.2635594932679883
23,-0.24705168225240212
24,-0.230176846981414
25,-0.21299763687369544
26,-0.19557668344861795
27,-0.17797638960759699
28,-0.16025872234724542
29,-0.1424850095764514
30,-0.12471574168841111
31,-0.10701037851548739
32,-0.08942716226965276
33,-0.07202293704429762
34,-0.05485297542445907
35,-0.03797081272217258
36,-0.02142808932177415
37,-0.005274401586730507
38,0.010442838254946601
39,0.025678532865281857
40,0.04039002084613145
41,0.05453718777689213
42,0.0680825669710316
43,0.0809914297211198
44,0.09323186484125313
45,0.1047748473552608
46,0.11559429621873445
47,0.12566712100257574
48,0.13497325750528613
49,0.1434956923004735
50,0.1512204762649006
51,0.15813672717070837
52,0.16423662146308335
53,0.16951537538147712
54,0.17397121561840298
55,0.1776053397447128
56,0.18042186666397914
57,0.18242777739106275
58,0.18363284648104142
59,0.18404956446429355
60,0.183693051671603
61,0.1825809638595663
62,0.18073339007129113
63,0.17817274319026952
64,0.17492364366636176
65,0.1710127969119441
66,0.166468864883431
67,0.16132233237852678
68,0.15560536859264984
69,0.14935168448899336
70,0.14259638654560305
71,0.13537582744966395
72,0.12772745431388036
73,0.11968965499241703
74,0.11130160307434878
75,0.10260310213096063
76,0.09363442978957683
77,0.08443618220090407
78,0.07504911945919755
79,0.06551401252493028
80,0.05587149218814113
81,0.04616190059729061
82,0.03642514586334536
83,0.026700560232014767
84,0.01702676229863684
85,0.007441523720261034
86,-0.0020183591419368208
87,-0.011317188239531846
88,-0.020420481126674547
89,-0.029295082161709445
90,-0.037909267285689385
91,-0.04623284207009916
92,-0.05423723275416101
93,-0.061895570020896136
94,-0.06918276529054021
95,-0.07607557933985183
96,-0.08255268308619453
97,-0.08859471040589371
98,-0.09418430288717103
99,-0.09930614644880564
100,-0.10394699978647129
101,-0.10809571463932038
102,-0.11174324789973472
103,-0.11488266561911667
104,-0.11750913899205856
105,-0.11961993243008881
106,-0.12121438386435808
107,-0.12229387744399361
108,-0.12286180882332826
109,-0.12292354325670576
110,-0.12248636674399789
111,-0.12155943049325611
112,-0.12015368898898843
113,-0.11828183197532822
114,-0.11595821068278432
115,-0.11319875864526799
116,-0.1100209074706287
117,-0.10644349794295409
118,-0.10248668684835052
119,-0.09817184992779089
120,-0.09352148137086093
121,-0.08855909027283308
122,-0.08330909448443359
123,-0.07779671228892622
124,-0.07204785234471958
125,-0.06608900233360672
126,-0.059947116754984694
127,-0.053649504304978224
128,-0.04722371527634208
129,-0.04069742941035166
130,-0.034098344625654683
131,-0.027454067041279114
132,-0.02079200270172032
133,-0.014139251401306485
134,-0.007522502992930147
135,-0.000967936552777112
136,0.00549887724204083
137,0.011853070181977359
138,0.018070566715769953
139,0.024128169957618302
140,0.03000364322418129
141,0.035675786834772974
142,0.04112450992898428
143,0.04633089707754222
144,0.05127726948444513
145,0.055947240601202215
146,0.06032576599726122
147,0.06439918735433867
148,0.06815527047628221
149,0.0715832372301975
150,0.07467379135877508
151,0.07741913812795846
152,0.07981299779821503
153,0.08185061293161253
154,0.08352874957058175
155,0.08484569234756596
156,0.08580123360764047
157,0.08639665664854633
158,0.08663471320433645
159,0.08651959531991046
160,0.08605690178403493
161,0.08525359930793895
162,0.08411797865518067
163,0.0826596059461205
164,0.08088926937697324
165,0.078818921608964
166,0.07646161809755751
167,0.07383145164499749
168,0.07094348347146164
169,0.0678136711109548
170,0.06445879344761271
171,0.06089637321633208
172,0.05714459729856753
173,0.05322223514972553
174,0.0491485556988213
175,0.04494324306395407
176,0.040626311428691775
177,0.036218019424638655
178,0.031738784364312024
179,0.02720909666597934
180,0.022649434808332022
181,0.01808018114781898
182,0.013521538925163373
183,0.008993450780071717
184,0.00451551908445624
185,0.00010692839466999565
186,-0.004213629687652534
187,-0.008428028968495755
188,-0.01251877816337673
189,-0.01646908719738782
190,-0.020262930067191865
